,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
57,CHA,Cody Zeller,-80.001,118.432,0.000,711.060,11.880,1,21500492,1,16.593,33.000,1.817
58,CHA,Kemba Walker,-164.140,164.120,0.000,711.060,11.880,1,21500492,1,21.162,41.414,10.592
59,CHA,Nicolas Batum,61.252,36.808,0.000,711.060,11.880,1,21500492,1,8.431,18.875,3.283
60,TOR,Jonas Valanciunas,-105.452,168.059,0.000,711.060,11.880,1,21500492,1,21.556,35.545,7.691
61,TOR,DeMar DeRozan,-125.438,66.283,0.000,711.060,11.880,1,21500492,1,11.378,37.544,17.569
62,TOR,Kyle Lowry,-184.233,182.988,0.000,711.060,11.880,1,21500492,1,23.049,43.423,13.421
63,TOR,DeMarre Carroll,107.275,45.571,0.000,711.060,11.880,1,21500492,1,9.307,14.272,5.659
64,TOR,Luis Scola,114.820,136.302,0.000,711.060,11.880,1,21500492,1,18.380,13.518,3.622
65,ball,ball,-181.485,212.234,0.956,711.060,11.880,1,21500492,1,25.973,43.149,10.068
66,CHA,Marvin Williams,34.419,76.569,0.000,711.020,11.850,1,21500492,1,12.407,21.558,5.280
67,CHA,PJ Hairston,-114.082,82.192,0.000,711.020,11.850,1,21500492,1,12.969,36.408,10.134
68,CHA,Cody Zeller,-80.840,118.971,0.000,711.020,11.850,1,21500492,1,16.647,33.084,2.493
69,CHA,Kemba Walker,-161.770,167.876,0.000,711.020,11.850,1,21500492,1,21.538,41.177,11.102
70,CHA,Nicolas Batum,61.085,35.615,0.000,711.020,11.850,1,21500492,1,8.312,18.892,3.011
71,ball,ball,-178.935,214.765,1.582,711.020,11.850,1,21500492,1,26.227,42.894,8.983
72,TOR,Jonas Valanciunas,-107.560,169.677,0.000,711.020,11.850,1,21500492,1,21.718,35.756,6.644
73,TOR,DeMar DeRozan,-121.601,60.768,0.000,711.020,11.850,1,21500492,1,10.827,37.160,16.796
74,TOR,Kyle Lowry,-181.775,187.754,0.000,711.020,11.850,1,21500492,1,23.525,43.178,13.405
75,TOR,DeMarre Carroll,105.897,43.793,0.000,711.020,11.850,1,21500492,1,9.129,14.410,5.625
