,event_id,team1_id,team2_id,game_clock,ball_x_loc,ball_y_loc,team1_player1,team1_player1_x_loc,team1_player1_y_loc,team1_player2,team1_player2_x_loc,team1_player2_y_loc,team1_player3,team1_player3_x_loc,team1_player3_y_loc,team1_player4,team1_player4_x_loc,team1_player4_y_loc,team1_player5,team1_player5_x_loc,team1_player5_y_loc,team2_player1,team2_player1_x_loc,team2_player1_y_loc,team2_player2,team2_player2_x_loc,team2_player2_y_loc,team2_player3,team2_player3_x_loc,team2_player3_y_loc,team2_player4,team2_player4_x_loc,team2_player4_y_loc,team2_player5,team2_player5_x_loc,team2_player5_y_loc,ball_speed,team1_player1_speed,team1_player2_speed,team1_player3_speed,team1_player4_speed,team1_player5_speed,team2_player1_speed,team2_player2_speed,team2_player3_speed,team2_player4_speed,team2_player5_speed
11,1.000,TOR,CHA,710.820,27.519,41.781,Luis Scola,17.655,13.204,DeMarre Carroll,8.322,14.955,Kyle Lowry,25.926,41.379,DeMar DeRozan,8.454,35.179,Jonas Valanciunas,22.658,36.703,Marvin Williams,12.124,20.761,Nicolas Batum,7.745,18.809,Kemba Walker,23.357,39.739,Cody Zeller,16.863,33.651,PJ Hairston,11.310,35.462,8.942,3.068,4.553,15.843,15.612,5.587,2.483,2.897,12.234,3.172,8.764
12,1.000,TOR,CHA,710.780,27.917,41.372,Luis Scola,17.542,13.182,DeMarre Carroll,8.179,15.066,Kyle Lowry,26.291,40.909,DeMar DeRozan,7.997,34.719,Jonas Valanciunas,22.817,36.886,Marvin Williams,12.146,20.717,Nicolas Batum,7.638,18.771,Kemba Walker,23.701,39.383,Cody Zeller,16.911,33.748,PJ Hairston,11.022,35.269,14.271,2.878,4.512,14.858,16.211,6.077,1.240,2.845,12.393,2.705,8.678
13,1.000,TOR,CHA,710.740,28.154,41.053,Luis Scola,17.432,13.169,DeMarre Carroll,8.065,15.233,Kyle Lowry,26.627,40.443,DeMar DeRozan,7.566,34.267,Jonas Valanciunas,22.969,37.093,Marvin Williams,12.178,20.656,Nicolas Batum,7.533,18.739,Kemba Walker,24.037,39.006,Cody Zeller,16.967,33.848,PJ Hairston,10.700,35.010,9.936,2.766,5.063,14.361,15.601,6.417,1.719,2.737,12.628,2.869,10.336
14,1.000,TOR,CHA,710.700,28.510,40.298,Luis Scola,17.319,13.154,DeMarre Carroll,7.951,15.400,Kyle Lowry,26.984,39.980,DeMar DeRozan,7.143,33.798,Jonas Valanciunas,23.140,37.250,Marvin Williams,12.229,20.583,Nicolas Batum,7.430,18.702,Kemba Walker,24.354,38.625,Cody Zeller,17.010,33.932,PJ Hairston,10.379,34.682,20.875,2.875,5.055,14.619,15.794,5.808,2.215,2.737,12.383,2.357,11.473
15,1.000,TOR,CHA,710.660,28.910,39.894,Luis Scola,17.206,13.143,DeMarre Carroll,7.844,15.555,Kyle Lowry,27.377,39.522,DeMar DeRozan,6.762,33.291,Jonas Valanciunas,23.305,37.374,Marvin Williams,12.276,20.407,Nicolas Batum,7.338,18.668,Kemba Walker,24.649,38.255,Cody Zeller,17.065,34.016,PJ Hairston,10.046,34.330,14.189,2.821,4.719,15.085,15.855,5.153,4.566,2.462,11.826,2.511,12.124
16,1.000,TOR,CHA,710.620,29.307,39.356,Luis Scola,17.091,13.134,DeMarre Carroll,7.727,15.704,Kyle Lowry,27.775,39.104,DeMar DeRozan,6.440,32.796,Jonas Valanciunas,23.423,37.461,Marvin Williams,12.331,20.239,Nicolas Batum,7.278,18.664,Kemba Walker,24.937,37.882,Cody Zeller,17.123,34.110,PJ Hairston,9.747,34.052,16.722,2.890,4.716,14.437,14.783,3.679,4.423,1.495,11.791,2.765,10.186
17,1.000,TOR,CHA,710.580,29.818,38.800,Luis Scola,16.971,13.130,DeMarre Carroll,7.661,15.886,Kyle Lowry,28.187,38.685,DeMar DeRozan,6.162,32.272,Jonas Valanciunas,23.579,37.557,Marvin Williams,12.388,20.069,Nicolas Batum,7.193,18.643,Kemba Walker,25.231,37.513,Cody Zeller,17.179,34.158,PJ Hairston,9.477,33.799,18.893,2.989,4.855,14.691,14.818,4.578,4.473,2.187,11.775,1.833,9.257
18,1.000,TOR,CHA,710.540,30.363,38.238,Luis Scola,16.852,13.131,DeMarre Carroll,7.602,16.067,Kyle Lowry,28.596,38.262,DeMar DeRozan,5.883,31.757,Jonas Valanciunas,23.665,37.689,Marvin Williams,12.449,19.957,Nicolas Batum,7.120,18.634,Kemba Walker,25.510,37.127,Cody Zeller,17.230,34.210,PJ Hairston,9.225,33.553,19.558,2.989,4.742,14.701,14.629,3.925,3.184,1.839,11.910,1.819,8.809
19,1.000,TOR,CHA,710.500,30.654,37.790,Luis Scola,16.730,13.133,DeMarre Carroll,7.552,16.248,Kyle Lowry,28.954,37.829,DeMar DeRozan,5.625,31.282,Jonas Valanciunas,23.750,37.738,Marvin Williams,12.509,19.843,Nicolas Batum,7.052,18.642,Kemba Walker,25.770,36.715,Cody Zeller,17.278,34.329,PJ Hairston,8.965,33.243,13.371,3.054,4.714,14.052,13.516,2.460,3.233,1.718,12.176,3.216,10.109
20,1.000,TOR,CHA,710.460,30.897,37.584,Luis Scola,16.603,13.138,DeMarre Carroll,7.523,16.429,Kyle Lowry,29.319,37.394,DeMar DeRozan,5.397,30.815,Jonas Valanciunas,23.821,37.782,Marvin Williams,12.591,19.761,Nicolas Batum,6.988,18.663,Kemba Walker,25.996,36.281,Cody Zeller,17.325,34.458,PJ Hairston,8.736,32.914,7.959,3.164,4.563,14.195,12.995,2.090,2.906,1.674,12.252,3.443,10.027
